type, gen_len, x(num_reads, y(read_length), setup_time, match_time, base_memory, setup_memory
sa, 1000000, 10000, 100, 11.303125773003558, 1.3004616889957106, 30767258, 67689107
sa, 1000000, 10000, 1, 11.216804227005923, 0.29457118999562226, 22847206, 59981771
sa, 1000000, 10000, 2, 11.230667761003133, 0.33762848800688516, 22927104, 60111565
sa, 1000000, 10000, 4, 11.213705792004475, 0.5389504339982523, 23087206, 60287767
sa, 1000000, 10000, 8, 11.2181817600067, 0.8035212399990996, 23407206, 60608999
sa, 1000000, 10000, 16, 11.265578894992359, 0.8286293389974162, 24047257, 60969162
sa, 1000000, 10000, 32, 11.257647719001397, 0.9131812400009949, 25327257, 62249162
sa, 1000000, 10000, 64, 11.243451927992282, 1.0871100749936886, 27887257, 64809162
sa, 1000000, 10000, 128, 11.344426772004226, 1.4364099850063212, 33007258, 69929135
sa, 1000000, 10000, 256, 11.407609315996524, 2.109523341001477, 43247156, 80168921
sa, 1000000, 10000, 512, 11.517108600004576, 3.793098091002321, 63727286, 100649107
sa, 1000000, 10000, 1024, 11.747088186995825, 6.810029553002096, 104687287, 141609108
sa, 1000000, 1, 100, 11.192354779006564, 0.00017588298942428082, 21560176, 57553855
sa, 1000000, 2, 100, 11.160325242992258, 0.0003092800034210086, 21561088, 57554851
sa, 1000000, 4, 100, 11.190455577001558, 0.0006439959979616106, 21562810, 57556741
sa, 1000000, 8, 100, 11.12828896701103, 0.0012308589939493686, 21566592, 57560891
sa, 1000000, 16, 100, 11.207611603997066, 0.002637497993418947, 21574003, 57569229
sa, 1000000, 32, 100, 11.152222589997109, 0.004407447995617986, 21588747, 57585469
sa, 1000000, 64, 100, 11.180418739997549, 0.008550267986720428, 21618227, 57617933
sa, 1000000, 128, 100, 11.222651367992512, 0.017510054996819235, 21677204, 57682894
sa, 1000000, 256, 100, 11.184958136000205, 0.033526786995935254, 21794806, 57812216
sa, 1000000, 512, 100, 11.139449751994107, 0.06619999899703544, 22030490, 58071460
sa, 1000000, 1024, 100, 11.212423870005296, 0.13155874000221957, 22502443, 58591736
sa, 1000000, 2048, 100, 11.167207192003843, 0.2634759899956407, 23443969, 59626842
sa, 1000000, 4096, 100, 11.2378696520027, 0.5251420849963324, 25329113, 61701386
sa, 1000000, 8192, 100, 11.250743149998016, 1.0494230819895165, 29099795, 65851336
sa, 1000000, 16384, 100, 10.93721406100667, 2.1153665910096606, 36642426, 74153519
sa, 1000000, 32768, 100, 11.140433666994795, 4.188834233995294, 51729434, 90761359
sa, 1000000, 65536, 100, 11.150420131001738, 8.38662047201069, 81907402, 123985055
sa, 1000000, 131072, 100, 11.402666037000017, 16.744714763000957, 142271345, 190449022
sa, 1000000, 262144, 100, 11.811000068992143, 33.383732185000554, 262750913, 322879282
sa, 1000000, 524288, 100, 11.863085561999469, 66.97097865201067, 504000307, 588320904
sa, 1000000, 1048576, 100, 12.203035288010142, 134.2456433519983, 986558412, 1119324241
